station,peak_disp,peak_noise,snr,distance,latitude,longitude,depth,magnitude
N0550,3.6470463185745993e-06,8.269976774500748e-08,44.0998374967597,135.53789607489617,-29.63343,-71.684447,-1425.0,5.078593827387868
N0600,5.2024571955667375e-06,3.7262108616360353e-08,139.61789573235637,139.46573838713684,-29.600931,-71.718024,-1534.0,5.283843285775682
N0650,2.1879316231878265e-06,5.329006044687022e-09,410.57030238672326,143.8093269287572,-29.561467,-71.734995,-1820.0,4.8593185802629
N0700,2.573247920034613e-06,1.080541208657948e-08,238.1443576067436,148.28761393953639,-29.517629,-71.735615,-1375.0,4.9666077651673515
N0750,2.995338645671977e-06,2.289079759974674e-08,130.85339786085552,152.80310271163,-29.473656,-71.736238,-1280.0,5.068171285112956
N0800,1.823005909082248e-06,4.477359020321661e-08,40.7160985037845,157.32612174441738,-29.429817,-71.736858,-1227.0,4.833956328591955
N0850,1.1543787741930792e-06,6.782422414702736e-08,17.020154505426422,161.86854663522035,-29.385979,-71.737479,-1246.0,4.619810872083194
N0900,3.717355964016843e-06,2.7992025323928687e-08,132.80053590259868,166.44818092385086,-29.341961,-71.738134,-1450.0,5.2462071815713545
N0950,1.0923404810829e-06,2.7846255581256417e-08,39.227553517757876,170.98464062053736,-29.297979,-71.735545,-1508.0,4.634115397555334
N1000,1.4780533432231897e-06,1.3960670350309013e-07,10.587266271139148,175.4524982784053,-29.254157,-71.728693,-1362.0,4.810803946012596
S0200,1.5623208197942626e-05,1.1774051568141802e-07,132.6918614847574,105.13060952064217,-29.911029,-71.431402,-174.0,5.642824050296621
S0250,1.4214494999319027e-05,3.391235160057649e-08,419.15391674216386,104.0641734306712,-29.923536,-71.48071,-550.0,5.586565678656964
S0300,1.565478838610535e-05,2.769428631276291e-07,56.52714140855416,102.90978654154021,-29.939076,-71.528004,-625.0,5.628377506382252
S0350,4.091021454885873e-06,2.8505518613403025e-08,143.51682249213013,101.6787515731135,-29.957655,-71.574989,-571.0,4.925837189921439
S0400,2.9937287965406197e-06,1.1851077781115463e-08,252.61236588212148,100.70026693512516,-29.97576,-71.620784,-567.0,4.757394761453384
S0450,1.0035706763811272e-05,7.076698223774745e-07,14.181340572211338,99.25872058246088,-30.000044,-71.661572,-1121.0,5.372386068957805
S0500,7.4688466370947805e-06,3.510666989096835e-08,212.7472261052091,97.13981930280126,-30.032258,-71.696094,-1306.0,5.204113298836205
S0550,2.7017789475165233e-05,2.5631564699094336e-08,1054.0827215327934,94.48628929878828,-30.06954,-71.720943,-1421.0,5.848983211343472
S0600,2.4372789448565313e-05,6.69664072350745e-08,363.9554584884428,91.17864213826631,-30.112114,-71.734329,-1364.0,5.770225736061063
S0650,5.185032616585725e-05,1.1242452999284105e-07,461.2011824213004,88.02758092619493,-30.154559,-71.747674,-1236.0,6.135463832572795
S0700,1.030016326136148e-05,2.4584621433577114e-08,418.96773921008,85.0392212487279,-30.197003,-71.761019,-1147.0,5.275352175236559
S0750,7.371707652692956e-06,5.1804278933090086e-08,142.29920393668993,82.22281088596806,-30.239578,-71.774405,-1019.0,5.078594649325658
S0800,3.426657642765481e-05,4.853094150726965e-07,70.60768936972278,79.61480575825668,-30.282022,-71.78775,-1332.0,5.8502952807398225
S0850,2.3711162216879246e-05,1.0223149838360193e-07,231.9359746436285,77.06191885880426,-30.325067,-71.798365,-1625.0,5.637033930088182
S0900,2.3785335017699007e-05,2.2562473660401695e-07,105.41989045927839,74.57628082462011,-30.368808,-71.806465,-1383.0,5.615703505980911
S0950,0.0001159077663382871,2.992498432941862e-07,387.3277428063367,72.19626985614516,-30.412485,-71.811646,-1600.0,6.411890339889434
S1000,5.0798217718380885e-05,6.393981391803021e-07,79.44692767405199,70.0262789083668,-30.456309,-71.816061,-1334.0,5.964159021144195
S1100,8.42330737316395e-05,2.517395483673721e-07,334.60405517497514,66.55600956015266,-30.543819,-71.824886,-1254.0,6.19040703510401
S1150,5.419756979878691e-05,4.060626207298297e-07,133.47096490037876,65.29023972792129,-30.587909,-71.829347,-1621.0,5.9491628222050785
S1200,7.535519115576319e-05,5.966506489436938e-07,126.29700694899353,64.37653004849464,-30.631865,-71.833795,-1583.0,6.109837627990825
S1250,4.669076378265753e-05,2.8949047900559155e-07,161.28600824124408,63.8242796518628,-30.675955,-71.838256,-1802.0,5.856421384161872
S1300,5.611546578262988e-05,3.335310193834506e-07,168.24661732021877,63.646294995782036,-30.71991,-71.842703,-1534.0,5.949559206512851
S1350,7.699655886806498e-05,9.089733056753737e-07,84.70717279299636,63.843459526857636,-30.763866,-71.84715,-1663.0,6.115247830339913
S1400,7.441991272228567e-05,6.140262150931433e-07,121.19989487907566,64.41466735639655,-30.807956,-71.851611,-1651.0,6.1037887668376944
S1450,4.660363352460076e-05,1.3235795810950475e-06,35.21029954696325,65.34671489062603,-30.851912,-71.856059,-1736.0,5.871711979125785
